Course Name,Course Title,Section,Schedule,Section Modality,Campus,Location,Instructor
MATH21,Finite Mathematics,2606,MW 11:15 a.m.-12:35 p.m.,On Ground,Main Campus,MSB 102,SIMO
MATH21,Finite Mathematics,2610,TTh 12:45 p.m.-2:05 p.m.,On Ground,Main Campus,MSB 307,MIANO
MATH21,Finite Mathematics,4134,TTh 7:35 p.m.-8:55 p.m.,On Ground,Main Campus,MSB 306,MUSSELMAN
MATH 21 AND,Finite Mathematics,2604,TTh 10:15 a.m.-11:35 a.m.,On Ground,Bundy,BUNDY 228,MAKNOUNI
MATH 21C,Concurrent Support for Finite Mathematics,2614,T 11:45 a.m.-12:35 p.m.,On Ground,Bundy,BUNDY 228,MAKNOUNI
MATH 21 AND,Finite Mathematics,2605,MW 11:15 a.m.-12:35 p.m.,On Ground,Main Campus,MSB 211,ROSS
MATH 21C,Concurrent Support for Finite Mathematics,2615,M 12:45 p.m.-1:35 p.m.,On Ground,Main Campus,MSB 211,ROSS
MATH 21 AND,Finite Mathematics,2607,MW 12:45 p.m.-2:05 p.m.,On Ground,Main Campus,MSB 307,MIANO
MATH 21C,Concurrent Support for Finite Mathematics,2617,W 2:15 p.m.-3:05 p.m.,On Ground,Main Campus,MSB 307,MIANO
MATH 21 AND,Finite Mathematics,2608,TTh 12:45 p.m.-2:05 p.m.,On Ground,Main Campus,MSB 206,ROSS
MATH 21C,Concurrent Support for Finite Mathematics,2618,Th 2:15 p.m.-3:05 p.m.,On Ground,Main Campus,MSB 206,ROSS
MATH 21 AND,Finite Mathematics,2609,TTh 2:15 p.m.-3:35 p.m.,On Ground,Main Campus,MSB 307,BRONIE
MATH 21C,Concurrent Support for Finite Mathematics,2616,T 3:45 p.m.-4:35 p.m.,On Ground,Main Campus,MSB 307,BRONIE
MATH 21 AND,Finite Mathematics,2611,MW 2:15 p.m.-3:35 p.m.,On Ground,Main Campus,MSB 208,BRONIE
MATH 21C,Concurrent Support for Finite Mathematics,2619,W 3:45 p.m.-4:35 p.m.,On Ground,Main Campus,MSB 208,BRONIE
MATH 21 AND,Finite Mathematics,2612,MW 3:15 p.m.-4:35 p.m.,On Ground,Bundy,BUNDY 221,MAKNOUNI
MATH 21C,Concurrent Support for Finite Mathematics,4135,M 4:45 p.m.-5:35 p.m.,On Ground,Bundy,BUNDY 221,MAKNOUNI
MATH 21 AND,Finite Mathematics,4133,MW 6:15 p.m.-7:35 p.m.,On Ground,Main Campus,MSB 306,MUSSELMAN
MATH 21C,Concurrent Support for Finite Mathematics,4136,W 7:45 p.m.-8:35 p.m.,On Ground,Main Campus,MSB 306,MUSSELMAN
MATH28,Calculus 1 for Business and Social Science,2621,MW 9:30 a.m.-11:55 a.m.,On Ground,Main Campus,MSB 308,SMITH
MATH28,Calculus 1 for Business and Social Science,2622,TTh 12:45 p.m.-3:10 p.m.,On Ground,Bundy,BUNDY 217,KAMIN
MATH28,Calculus 1 for Business and Social Science,4137,MW 5 p.m.-7:25 p.m.,On Ground,Main Campus,MSB 206,CHITGAR
MATH 88A,Independent Studies in Mathematics,3236,ARRANGE-1HR,TBD,SMC Classes Off Site,-,MCGRAW
